namaprov,namakab,idkab,infra_ekonomi_tidak,infra_pertanian_tidak,infra_kesehatan_tidak,infra_pendidikan_negeri_tidak,infra_pendidikan_swasta_tidak,infra_perbankan_tidak,infra_ekonomi_terdampak,infra_pertanian_terdampak,infra_kesehatan_terdampak,infra_pendidikan_negeri_terdampak,infra_pendidikan_swasta_terdampak,infra_perbankan_terdampak,jumlah_bangunan_tidak_terdampak,jumlah_bangunan_terdampak,area_lbs_tidak_terdampak,area_lbs_terdampak
ACEH,ACEH SINGKIL,1102,56,13,164,157,145,5,11,0,16,19,27,3,26763,1796,603.2538012212788,47.658565886405356
ACEH,ACEH SELATAN,1103,84,136,298,326,128,14,29,41,70,71,26,5,42800,7421,3282.7167810972496,3736.2072550145044
ACEH,ACEH TENGGARA,1104,88,35,298,236,322,10,1,2,17,11,21,1,48234,1405,7993.522710411146,770.0575088365591
ACEH,ACEH TIMUR,1105,182,256,407,346,110,13,66,144,249,166,61,2,63048,36125,4098.402937243057,16071.686452572081
ACEH,ACEH TENGAH,1106,142,113,599,323,296,26,1,0,5,0,0,0,52012,193,3681.923719309368,81.98483506179065
ACEH,ACEH BARAT,1107,123,369,172,238,129,16,29,262,74,99,29,2,33941,13006,2249.7624512542375,7693.918220502668
ACEH,ACEH BESAR,1108,255,288,482,275,224,27,134,203,266,123,129,18,71660,24991,7625.269627999745,14315.866516828484
ACEH,PIDIE,1109,148,249,293,327,149,18,67,112,196,166,80,7,69458,24104,9788.724966272977,15927.619907339411
ACEH,BIREUEN,1110,231,313,522,286,277,21,54,123,229,136,92,2,79923,24188,5367.232067319877,10585.836588968381
ACEH,ACEH UTARA,1111,327,243,408,394,310,15,143,168,317,210,199,3,93029,46646,8474.642505447137,31870.029138462563
ACEH,GAYO LUES,1113,79,148,280,152,72,5,0,8,6,6,1,0,20061,750,3948.955102489065,360.64827484388013
ACEH,ACEH TAMIANG,1114,125,57,319,173,194,10,46,65,196,101,80,6,46336,19292,972.817556278392,7543.577220307529
ACEH,NAGAN RAYA,1115,82,179,272,204,95,9,8,47,43,28,11,0,34545,3830,3920.5905367905593,2019.6765518328448
ACEH,BENER MERIAH,1117,88,17,381,297,139,10,0,0,0,0,0,0,41027,27,605.3944648184787,12.652509756298643
ACEH,PIDIE JAYA,1118,48,101,164,145,63,4,34,43,108,54,44,7,24544,10957,4020.376590721094,4654.692914048835
ACEH,LANGSA,1173,138,19,242,115,120,14,6,14,43,21,22,0,31952,3777,182.90880870706783,930.6520356905354
ACEH,LHOKSEUMAWE,1174,112,10,218,85,150,18,46,5,76,22,56,3,30074,7086,327.50549299989996,793.7821088461668
ACEH,SUBULUSSALAM,1175,30,6,154,127,148,4,0,0,6,6,5,0,20284,693,424.0517729947875,47.95573069604212
SUMATERA UTARA,NIAS,1201,24,112,90,233,30,3,0,1,0,0,0,0,23424,23,5312.674635047992,242.37818742601462
SUMATERA UTARA,MANDAILING NATAL,1202,169,386,838,543,226,22,0,3,14,11,4,0,108437,1167,11979.345589530776,649.1999817065022
SUMATERA UTARA,TAPANULI SELATAN,1203,85,367,533,374,290,11,2,4,14,2,5,0,67770,979,13008.79597618725,738.5711702287462
SUMATERA UTARA,TAPANULI TENGAH,1204,96,230,399,372,195,14,9,25,56,48,34,4,66449,6045,5791.876348198867,3471.6912019265865
SUMATERA UTARA,TAPANULI UTARA,1205,122,573,477,498,86,24,0,2,3,1,0,0,74135,302,18690.118503693117,342.17751370208504
SUMATERA UTARA,ASAHAN,1208,244,134,796,454,691,48,17,55,55,37,54,2,160773,9573,2226.832775081432,6155.747478168983
SUMATERA UTARA,DELI SERDANG,1212,678,413,1734,654,2099,138,83,104,301,108,326,6,383529,54602,23343.684495346668,25385.151883653758
SUMATERA UTARA,LANGKAT,1213,331,178,1237,638,1130,45,29,50,210,58,162,5,223883,23825,6910.233968844061,13551.01483631434
SUMATERA UTARA,NIAS SELATAN,1214,51,175,147,559,147,9,0,3,2,6,0,0,46985,693,4740.676462558081,721.7908532032898
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,50,391,297,293,33,13,1,3,1,2,0,0,46069,134,13700.107002240247,52.06868881349523
SUMATERA UTARA,PAKPAK BHARAT,1216,20,87,100,104,25,4,0,0,0,0,0,0,11178,0,1177.0222235877106,0.0
SUMATERA UTARA,SERDANG BEDAGAI,1218,146,101,579,339,481,33,52,189,297,134,182,1,102029,53313,3498.1432137088073,26476.66987989751
SUMATERA UTARA,BATU BARA,1219,131,57,418,222,375,17,29,60,142,61,139,6,78258,23236,1848.140896802352,11023.634784815267
